Year,Country,Graduate_F,Graduate_M,Percent_F_Graduate,Percent_F_Undergraduate,Percent_M_Graduate,Percent_M_Undergraduate,Percent_of_Graduate,Percent of Total,Percent of Undergraduate,Total,Total Graduate,Total Undergraduate,Undergraduate F,Undergraduate M
Fall 1998,Thailand,35,60,36.84210526,80,63.15789474,20,3.586258966,3.091190108,0.853242321,100,95,5,4,1
Fall 1998,Turkey,25,61,29.06976744,42.85714286,70.93023256,57.14285714,3.246508116,2.874806801,1.194539249,93,86,7,3,4
Fall 1998,Singapore,5,18,21.73913043,25,78.26086957,75,0.868252171,2.442040185,9.556313993,79,23,56,14,42
Fall 1998,USSR,23,47,32.85714286,66.66666667,67.14285714,33.33333333,2.642506606,2.349304482,1.023890785,76,70,6,4,2
Fall 1998,United Kingdom,5,8,38.46153846,48.38709677,61.53846154,51.61290323,0.490751227,2.318392581,10.58020478,75,13,62,30,32
Fall 1998,Other,246,518,32.19895288,38.04713805,67.80104712,61.95286195,28.8410721,32.79752705,50.68259386,1061,764,297,113,184
Fall 1999,China,222,382,36.75496689,74.19354839,63.24503311,25.80645161,21.59456561,18.64904552,5.098684211,635,604,31,23,8
Fall 1999,South Korea,189,293,39.21161826,56.71641791,60.78838174,43.28358209,17.23274937,16.12334802,11.01973684,549,482,67,38,29
Fall 1999,India,76,219,25.76271186,30.76923077,74.23728814,69.23076923,10.54701466,9.427312775,4.276315789,321,295,26,8,18
Fall 1999,Taiwan,146,107,57.70750988,55,42.29249012,45,9.045405792,8.017621145,3.289473684,273,253,20,11,9
Fall 1999,Japan,44,53,45.36082474,59.09090909,54.63917526,40.90909091,3.46800143,4.140969163,7.236842105,141,97,44,26,18
Fall 1999,Turkey,33,70,32.03883495,44.44444444,67.96116505,55.55555556,3.682516982,3.28928047,1.480263158,112,103,9,4,5
Fall 1999,Thailand,33,45,42.30769231,66.66666667,57.69230769,33.33333333,2.788702181,2.466960352,0.986842105,84,78,6,4,2
Fall 1999,United Kingdom,7,8,46.66666667,45.45454545,53.33333333,54.54545455,0.536288881,2.378854626,10.85526316,81,15,66,30,36
Fall 1999,Singapore,6,18,25,38.46153846,75,61.53846154,0.85806221,2.232011747,8.552631579,76,24,52,20,32
Fall 1999,USSR,22,45,32.8358209,50,67.1641791,50,2.395423668,2.085168869,0.657894737,71,67,4,2,2
Fall 1999,Canada,21,29,42,40,58,60,1.787629603,2.055800294,3.289473684,70,50,20,8,12
Fall 1999,Other,248,481,34.01920439,42.20532319,65.98079561,57.79467681,26.06363961,29.13362702,43.25657895,992,729,263,111,152
