Year,Country,Graduate_F,Graduate_M,Percent_F_Graduate,Percent_F_Undergraduate,Percent_M_Graduate,Percent_M_Undergraduate,Percent_of_Graduate,Percent of Total,Percent of Undergraduate,Total,Total Graduate,Total Undergraduate,Undergraduate F,Undergraduate M
Fall 1990,Canada,13,31,29.54545455,66.66666667,70.45454545,33.33333333,1.899007337,2.07253886,3.116883117,56,44,12,8,4
Fall 1990,Other,235,548,30.01277139,39.59183673,69.98722861,60.40816327,33.79369875,38.04589193,63.63636364,1028,783,245,97,148
Fall 1991,China,143,279,33.88625592,53.84615385,66.11374408,46.15384615,17.2244898,15.18324607,3.13253012,435,422,13,7,6
Fall 1991,Taiwan,200,187,51.67958656,72.72727273,48.32041344,27.27272727,15.79591837,13.89179756,2.65060241,398,387,11,8,3
Fall 1991,South Korea,89,212,29.56810631,56,70.43189369,44,12.28571429,11.37870855,6.024096386,326,301,25,14,11
Fall 1991,India,49,177,21.68141593,66.66666667,78.31858407,33.33333333,9.224489796,8.097731239,1.445783133,232,226,6,4,2
Fall 1991,Japan,46,57,44.66019417,41.02564103,55.33980583,58.97435897,4.204081633,4.956369983,9.397590361,142,103,39,16,23
Fall 1991,Brazil,17,48,26.15384615,75,73.84615385,25,2.653061224,2.547993019,1.927710843,73,65,8,6,2
Fall 1991,Germany,8,21,27.5862069,19.51219512,72.4137931,80.48780488,1.183673469,2.443280977,9.879518072,70,29,41,8,33
Fall 1991,Indonesia,16,49,24.61538462,60,75.38461538,40,2.653061224,2.443280977,1.204819277,70,65,5,3,2
Fall 1991,United Kingdom,7,11,38.88888889,38.29787234,61.11111111,61.70212766,0.734693878,2.268760908,11.3253012,65,18,47,18,29
Fall 1991,Other,260,574,31.17505995,42.27272727,68.82494005,57.72727273,34.04081633,36.78883072,53.01204819,1054,834,220,93,127
Fall 1992,China,158,294,34.95575221,66.66666667,65.04424779,33.33333333,17.42482652,15.46052632,4.035874439,470,452,18,12,6
Fall 1992,Taiwan,215,182,54.15617128,80,45.84382872,20,15.30454896,13.55263158,3.3632287,412,397,15,12,3
Fall 1992,South Korea,85,232,26.81388013,66.66666667,73.18611987,33.33333333,12.22050887,11.11842105,4.708520179,338,317,21,14,7
Fall 1992,India,56,178,23.93162393,66.66666667,76.06837607,33.33333333,9.020817271,7.796052632,0.67264574,237,234,3,2,1
Fall 1992,Japan,55,56,49.54954955,55.55555556,50.45045045,44.44444444,4.279105628,4.835526316,8.071748879,147,111,36,20,16
Fall 1992,Indonesia,25,58,30.12048193,50,69.87951807,50,3.199691596,2.927631579,1.34529148,89,83,6,3,3
Fall 1992,Canada,22,37,37.28813559,61.53846154,62.71186441,38.46153846,2.274479568,2.368421053,2.914798206,72,59,13,8,5
Fall 1992,Brazil,17,48,26.15384615,85.71428571,73.84615385,14.28571429,2.505782575,2.368421053,1.569506726,72,65,7,6,1
Fall 1992,United Kingdom,6,12,33.33333333,26.53061224,66.66666667,73.46938776,0.693909021,2.203947368,10.98654709,67,18,49,13,36
Fall 1992,Germany,11,16,40.74074074,26.31578947,59.25925926,73.68421053,1.040863531,2.138157895,8.520179372,65,27,38,10,28
Fall 1992,France,7,9,43.75,34.7826087,56.25,65.2173913,0.616808019,2.039473684,10.31390135,62,16,46,16,30
Fall 1992,Hong Kong,11,17,39.28571429,69.6969697,60.71428571,30.3030303,1.079414032,2.006578947,7.399103139,61,28,33,23,10
Fall 1992,Other,250,537,31.76620076,42.23602484,68.23379924,57.76397516,30.33924441,31.18421053,36.09865471,948,787,161,68,93
Fall 1993,China,172,317,35.17382413,79.31034483,64.82617587,20.68965517,18.22586657,16.39240506,6.07966457,518,489,29,23,6
Fall 1993,Taiwan,215,178,54.70737913,90.90909091,45.29262087,9.090909091,14.64778233,12.78481013,2.306079665,404,393,11,10,1
Fall 1993,South Korea,101,225,30.98159509,65,69.01840491,35,12.15057771,10.94936709,4.192872117,346,326,20,13,7
Fall 1993,India,64,179,26.33744856,83.33333333,73.66255144,16.66666667,9.057025717,7.879746835,1.257861635,249,243,6,5,1
Fall 1993,Japan,52,69,42.97520661,57.89473684,57.02479339,42.10526316,4.509877003,5.03164557,7.966457023,159,121,38,22,16
Fall 1993,United Kingdom,5,10,33.33333333,32.75862069,66.66666667,67.24137931,0.559075662,2.310126582,12.15932914,73,15,58,19,39
Fall 1993,Canada,24,36,40,53.84615385,60,46.15384615,2.236302646,2.310126582,2.725366876,73,60,13,7,6
Fall 1993,Indonesia,21,46,31.34328358,20,68.65671642,80,2.497204622,2.278481013,1.048218029,72,67,5,1,4
Fall 1993,Brazil,16,49,24.61538462,60,75.38461538,40,2.4226612,2.215189873,1.048218029,70,65,5,3,2
Fall 1993,Hong Kong,11,13,45.83333333,63.63636364,54.16666667,36.36363636,0.894521059,2.151898734,9.224318658,68,24,44,28,16
Fall 1993,Other,271,609,30.79545455,42.74193548,69.20454545,57.25806452,32.79910548,35.69620253,51.99161426,1128,880,248,106,142
Fall 1994,China,184,312,37.09677419,80,62.90322581,20,18.74527589,16.75241158,5.387931034,521,496,25,20,5
Fall 1994,Taiwan,192,176,52.17391304,76.92307692,47.82608696,23.07692308,13.90778534,12.25080386,2.801724138,381,368,13,10,3
Fall 1994,South Korea,108,225,32.43243243,60.60606061,67.56756757,39.39393939,12.58503401,11.76848875,7.112068966,366,333,33,20,13
Fall 1994,India,71,198,26.39405204,83.33333333,73.60594796,16.66666667,10.16628874,8.84244373,1.293103448,275,269,6,5,1
Fall 1994,Japan,50,66,43.10344828,59.52380952,56.89655172,40.47619048,4.383975813,5.080385852,9.051724138,158,116,42,25,17
Fall 1994,United Kingdom,6,7,46.15384615,50.84745763,53.84615385,49.15254237,0.491307634,2.31511254,12.71551724,72,13,59,30,29
Fall 1994,Canada,23,35,39.65517241,44.44444444,60.34482759,55.55555556,2.191987906,2.154340836,1.939655172,67,58,9,4,5
Fall 1994,USSR,17,36,32.0754717,30.76923077,67.9245283,69.23076923,2.003023432,2.122186495,2.801724138,66,53,13,4,9
Fall 1994,Indonesia,14,45,23.72881356,20,76.27118644,80,2.229780801,2.057877814,1.077586207,64,59,5,1,4
Fall 1994,Other,270,611,30.64699205,45.94594595,69.35300795,54.05405405,33.29554044,36.65594855,55.81896552,1140,881,259,119,140
Fall 1995,China,186,314,37.2,75,62.8,25,18.56665429,16.54653714,5.62248996,528,500,28,21,7
Fall 1995,Taiwan,198,179,52.5198939,65,47.4801061,35,13.99925733,12.44124099,4.016064257,397,377,20,13,7
Fall 1995,South Korea,111,226,32.93768546,60,67.06231454,40,12.51392499,11.65778753,7.02811245,372,337,35,21,14
Fall 1995,India,72,199,26.56826568,66.66666667,73.43173432,33.33333333,10.06312662,8.774678784,1.807228916,280,271,9,6,3
Fall 1995,Japan,51,66,43.58974359,60.46511628,56.41025641,39.53488372,4.344597104,5.014102162,8.634538153,160,117,43,26,17
Fall 1995,United Kingdom,7,7,50,50.81967213,50,49.18032787,0.51986632,2.350360389,12.24899598,75,14,61,31,30
Fall 1995,Canada,24,35,40.6779661,41.66666667,59.3220339,58.33333333,2.190865206,2.225007835,2.409638554,71,59,12,5,7
Fall 1995,USSR,17,36,32.0754717,33.33333333,67.9245283,66.66666667,1.968065355,2.130993419,3.012048193,68,53,15,5,10
Fall 1995,Indonesia,14,45,23.72881356,20,76.27118644,80,2.190865206,2.005640865,1.004016064,64,59,5,1,4
Fall 1995,Other,280,626,30.90507726,45.55555556,69.09492274,54.44444444,33.64277757,36.85365089,54.21686747,1176,906,270,123,147
Fall 1996,China,161,304,34.62365591,85,65.37634409,15,18.01627276,15.5848329,3.766478343,485,465,20,17,3
Fall 1996,South Korea,115,247,31.7679558,48.93617021,68.2320442,51.06382979,14.02557148,13.14267352,8.851224105,409,362,47,23,24
Fall 1996,Taiwan,143,116,55.21235521,59.09090909,44.78764479,40.90909091,10.03487021,9.029562982,4.143126177,281,259,22,13,9
Fall 1996,India,69,180,27.71084337,33.33333333,72.28915663,66.66666667,9.647423479,8.194087404,1.129943503,255,249,6,2,4
Fall 1996,Japan,53,54,49.53271028,64.1025641,50.46728972,35.8974359,4.145679969,4.69151671,7.344632768,146,107,39,25,14
Fall 1996,Thailand,49,49,50,50,50,50,3.796977916,3.277634961,0.753295669,102,98,4,2,2
Fall 1996,USSR,22,58,27.5,45.45454545,72.5,54.54545455,3.099573809,2.924164524,2.071563089,91,80,11,5,6
Fall 1996,Turkey,19,56,25.33333333,50,74.66666667,50,2.905850446,2.538560411,0.753295669,79,75,4,2,2
Fall 1996,Singapore,9,19,32.14285714,24,67.85714286,76,1.084850833,2.506426735,9.416195857,78,28,50,12,38
Fall 1996,United Kingdom,9,5,64.28571429,50,35.71428571,50,0.542425417,2.313624679,10.92278719,72,14,58,29,29
Fall 1996,Canada,17,36,32.0754717,54.54545455,67.9245283,45.45454545,2.053467648,2.05655527,2.071563089,64,53,11,6,5
Fall 1996,Indonesia,12,41,22.64150943,50,77.35849057,50,2.053467648,2.024421594,1.883239171,63,53,10,5,5
Fall 1996,Brazil,17,41,29.31034483,60,70.68965517,40,2.247191011,2.024421594,0.941619586,63,58,5,3,2
Fall 1996,Other,219,461,32.20588235,39.3442623,67.79411765,60.6557377,26.34637737,29.69151671,45.95103578,924,680,244,96,148
Fall 1997,China,178,323,35.52894212,66.66666667,64.47105788,33.33333333,18.88428194,16.07977563,2.697841727,516,501,15,10,5
Fall 1997,South Korea,129,285,31.15942029,49.23076923,68.84057971,50.76923077,15.6049755,14.92676846,11.69064748,479,414,65,32,33
Fall 1997,India,67,196,25.47528517,35.71428571,74.52471483,64.28571429,9.913305692,8.631972577,2.517985612,277,263,14,5,9
Fall 1997,Taiwan,145,107,57.53968254,75,42.46031746,25,9.498680739,8.351511374,2.877697842,268,252,16,12,4
Fall 1997,Japan,44,49,47.31182796,59.09090909,52.68817204,40.90909091,3.505465511,4.269242755,7.913669065,137,93,44,26,18
Fall 1997,Thailand,55,69,44.35483871,100,55.64516129,0,4.673954014,3.988781552,0.71942446,128,124,4,4,0
Fall 1997,USSR,23,56,29.11392405,50,70.88607595,50,2.977761025,2.586475538,0.71942446,83,79,4,2,2
Fall 1997,Turkey,21,50,29.57746479,57.14285714,70.42253521,42.85714286,2.676215605,2.430663758,1.258992806,78,71,7,4,3
Fall 1997,Singapore,7,15,31.81818182,20.75471698,68.18181818,79.24528302,0.829249906,2.337176691,9.532374101,75,22,53,11,42
Fall 1997,Canada,19,36,34.54545455,28.57142857,65.45454545,71.42857143,2.073124764,2.150202555,2.517985612,69,55,14,4,10
Fall 1997,Other,256,523,32.86264442,48.75,67.13735558,51.25,29.3629853,34.24742911,57.55395683,1099,779,320,156,164
Fall 1998,China,200,351,36.29764065,57.89473684,63.70235935,42.10526316,20.800302,17.61978362,3.242320819,570,551,19,11,8
Fall 1998,South Korea,148,284,34.25925926,62.90322581,65.74074074,37.09677419,16.30804077,15.27047913,10.58020478,494,432,62,39,23
Fall 1998,India,74,198,27.20588235,40,72.79411765,60,10.26802567,9.026275116,3.412969283,292,272,20,8,12
Fall 1998,Taiwan,139,114,54.94071146,73.33333333,45.05928854,26.66666667,9.550773877,8.28438949,2.559726962,268,253,15,11,4
Fall 1998,Japan,37,53,41.11111111,67.56756757,58.88888889,32.43243243,3.397508494,3.925811437,6.313993174,127,90,37,25,12
